subject,difficulty,total_chapters,chapters_done,days_until_exam,daily_free_hours,mid_score,study_hours_needed,priority
Linear Algebra,easy,8,5,10,1.9,81,3.3,low
Computer Networks,medium,11,4,30,1.4,58,11.6,low
Software Engineering,hard,11,11,18,5.7,48,0.5,low
Linear Algebra,medium,8,4,18,3.8,67,7.2,low
Operating Systems,easy,12,12,17,1.3,59,0.5,low
Probability & Stats,medium,8,0,26,7.0,84,15.4,low
Software Engineering,hard,13,1,8,1.3,46,30.0,low
Software Engineering,medium,15,7,15,5.2,53,14.7,low
Linear Algebra,medium,9,2,8,6.9,48,12.7,low
Database Systems,easy,6,1,17,2.4,98,5.8,low
Operating Systems,medium,9,2,12,1.9,99,11.6,low
Linear Algebra,hard,12,7,27,1.7,94,12.5,low
Operating Systems,easy,9,7,8,2.8,96,4.0,low
Operating Systems,medium,11,1,25,1.6,99,17.4,low
Probability & Stats,hard,14,7,14,5.2,58,16.6,low
Software Engineering,medium,6,2,4,1.4,86,8.2,medium
Computer Networks,medium,10,0,1,4.1,91,18.4,high
Probability & Stats,medium,12,5,1,7.0,53,12.7,high
Probability & Stats,medium,6,2,19,5.9,95,7.9,low
Operating Systems,easy,9,7,16,4.7,77,2.0,low
Data Structures,hard,11,11,14,2.8,92,0.5,low
Software Engineering,hard,7,0,21,4.7,100,18.0,low
Database Systems,hard,15,10,16,4.2,75,13.6,low
Probability & Stats,hard,10,10,5,3.6,79,0.5,medium
Computer Networks,medium,15,15,9,1.8,56,0.6,low
Data Structures,medium,6,0,26,6.3,69,11.0,low
Data Structures,hard,11,10,30,3.7,48,2.6,low
Database Systems,medium,11,8,28,2.2,72,5.4,low
Probability & Stats,medium,9,4,2,3.2,95,8.3,high
Computer Networks,hard,13,9,18,3.5,91,10.5,low
Software Engineering,hard,9,3,6,6.0,64,14.6,medium
Artificial Intelligence,medium,13,10,9,5.4,53,4.9,low
Computer Networks,medium,13,5,1,5.6,50,14.8,high
Database Systems,easy,10,6,9,1.1,92,5.2,low
Data Structures,medium,9,4,25,3.5,74,9.0,low
Software Engineering,easy,7,2,16,3.9,80,6.5,low
Computer Networks,medium,8,8,13,1.1,98,0.7,low
Artificial Intelligence,medium,8,2,9,2.6,53,11.5,low
Artificial Intelligence,easy,9,6,21,5.6,69,3.3,low
Operating Systems,medium,9,9,13,1.8,80,0.5,low
Operating Systems,easy,15,9,9,4.2,43,7.3,low
Linear Algebra,easy,10,10,11,2.3,98,0.9,low
Database Systems,hard,9,4,4,1.1,43,12.4,medium
Probability & Stats,medium,15,13,2,2.4,67,3.4,high
Computer Networks,easy,13,6,29,6.9,47,8.1,low
Computer Networks,medium,11,1,6,5.8,41,18.1,medium
Probability & Stats,hard,11,3,14,6.8,80,20.2,low
Linear Algebra,easy,13,1,4,3.9,100,14.6,medium
Data Structures,medium,12,12,6,1.7,85,0.5,medium
Data Structures,easy,15,12,19,4.3,61,3.9,low
Linear Algebra,easy,15,11,6,3.7,80,4.7,medium
Data Structures,medium,13,6,2,6.1,95,12.2,high
Operating Systems,medium,7,1,18,1.6,94,10.3,low
Computer Networks,medium,14,12,13,3.9,55,4.1,low
Linear Algebra,medium,6,5,9,1.9,68,2.0,low
Computer Networks,hard,13,10,23,2.9,88,6.6,low
Probability & Stats,medium,9,0,19,5.4,87,16.7,low
Artificial Intelligence,medium,9,8,13,3.9,69,2.7,low
Operating Systems,hard,10,0,11,3.3,51,24.6,low
Software Engineering,easy,13,7,1,3.4,74,7.4,high
Operating Systems,medium,10,1,24,3.8,50,16.0,low
Linear Algebra,easy,13,11,30,5.7,85,2.7,low
Software Engineering,easy,15,15,22,6.4,89,0.5,low
Artificial Intelligence,hard,6,4,7,6.7,60,5.0,medium
Linear Algebra,hard,15,2,25,5.7,60,33.0,low
Database Systems,medium,14,5,21,2.9,44,16.8,low
Computer Networks,medium,11,2,15,5.1,87,16.4,low
Artificial Intelligence,easy,8,6,1,3.6,59,2.2,high
Computer Networks,easy,13,9,12,2.5,76,4.0,low
Data Structures,easy,14,8,26,6.0,42,6.8,low
Database Systems,medium,11,1,7,1.2,83,17.8,medium
Database Systems,medium,12,11,15,6.4,72,1.5,low
Artificial Intelligence,medium,6,3,21,3.8,92,5.4,low
Database Systems,easy,10,4,19,4.8,100,7.0,low
Software Engineering,hard,10,5,28,5.0,48,12.6,low
Database Systems,medium,15,3,29,6.4,100,22.2,low
Computer Networks,medium,9,3,25,4.8,48,10.6,low
Computer Networks,medium,11,3,1,4.7,43,13.7,high
Linear Algebra,medium,12,1,17,1.4,74,19.4,low
Computer Networks,easy,14,3,17,4.1,56,13.5,low
Linear Algebra,medium,6,2,3,1.9,73,7.5,high
Computer Networks,hard,11,0,12,5.4,63,27.7,low
Software Engineering,easy,12,11,6,4.1,71,1.9,medium
Probability & Stats,easy,8,5,26,5.1,40,3.5,low
Linear Algebra,easy,13,0,11,1.3,47,16.6,low
Operating Systems,easy,10,9,3,1.5,84,1.6,high
Data Structures,hard,14,5,8,5.3,62,21.2,low
Artificial Intelligence,medium,10,0,14,1.4,86,18.9,low
Computer Networks,medium,14,5,14,1.4,79,15.8,low
Database Systems,easy,15,9,10,1.1,51,6.7,low
Probability & Stats,medium,9,7,2,6.7,93,3.9,high
Computer Networks,medium,14,10,14,5.4,51,6.3,low
Database Systems,easy,10,1,9,3.1,85,10.5,low
Data Structures,medium,15,1,3,2.8,86,26.0,high
Data Structures,medium,14,13,21,3.1,54,2.1,low
Data Structures,medium,8,3,26,5.6,80,9.4,low
Database Systems,medium,9,2,8,5.0,58,12.3,low
Computer Networks,easy,14,3,16,2.1,65,12.4,low
Data Structures,medium,15,12,2,2.0,91,5.8,high
Software Engineering,medium,11,11,6,1.6,68,0.5,medium
Linear Algebra,medium,7,6,28,5.0,61,2.2,low
Database Systems,hard,12,12,21,5.6,79,0.5,low
Database Systems,medium,7,2,29,2.6,60,8.5,low
Computer Networks,easy,7,0,26,1.1,90,9.6,low
Database Systems,easy,6,5,25,1.5,77,1.4,low
Database Systems,medium,8,2,12,6.8,59,10.7,low
Data Structures,easy,11,10,5,2.8,96,1.1,medium
Computer Networks,medium,13,9,2,5.6,68,7.3,high
Data Structures,hard,14,6,16,4.7,90,20.5,low
Linear Algebra,medium,12,9,5,3.3,43,5.5,medium
Probability & Stats,medium,9,1,15,2.2,94,14.8,low
Linear Algebra,medium,11,1,12,1.7,46,18.1,low
Probability & Stats,medium,10,3,4,4.7,67,12.5,medium
Data Structures,medium,13,0,15,5.6,67,23.7,low
Linear Algebra,hard,6,2,11,4.9,43,10.3,low
Computer Networks,medium,6,4,16,4.2,61,3.5,low
Artificial Intelligence,hard,11,8,23,1.3,51,7.1,low
Data Structures,hard,15,6,6,6.8,84,22.7,medium
Probability & Stats,easy,7,6,14,5.8,42,1.2,low
Software Engineering,easy,10,6,18,2.8,61,4.5,low
Probability & Stats,easy,6,4,12,6.9,83,2.0,low
Software Engineering,easy,12,12,27,4.6,41,0.5,low
Database Systems,easy,6,2,11,4.5,63,5.1,low
Linear Algebra,medium,9,3,13,5.5,73,10.6,low
Software Engineering,easy,14,1,21,5.9,66,15.3,low
Probability & Stats,medium,6,6,23,4.9,94,0.5,low
Database Systems,hard,9,3,11,1.8,80,15.2,low
Artificial Intelligence,easy,11,5,23,3.0,40,6.8,low
Computer Networks,hard,11,10,16,6.6,47,3.6,low
Computer Networks,easy,13,10,15,2.3,62,3.4,low
Computer Networks,easy,6,2,21,3.2,77,3.6,low
Software Engineering,medium,12,0,28,3.6,45,21.6,low
Artificial Intelligence,medium,6,5,15,3.6,61,1.8,low
Software Engineering,hard,12,11,25,4.7,64,3.1,low
Linear Algebra,medium,8,7,4,6.7,57,1.9,medium
Software Engineering,hard,13,11,11,2.4,56,4.6,low
Artificial Intelligence,easy,8,4,19,1.7,100,4.7,low
Artificial Intelligence,easy,6,6,15,2.2,51,0.5,low
Linear Algebra,hard,13,4,4,6.3,45,21.4,medium
Artificial Intelligence,hard,8,3,21,4.9,65,13.2,low
Probability & Stats,hard,7,5,13,2.7,66,4.6,low
Artificial Intelligence,medium,6,2,22,5.9,47,7.9,low
Computer Networks,medium,8,8,19,6.2,58,0.5,low
Probability & Stats,hard,7,4,2,6.1,99,7.8,high
Probability & Stats,medium,7,2,14,6.5,81,9.6,low
Linear Algebra,hard,11,10,29,2.5,40,2.8,low
Operating Systems,hard,6,0,4,5.5,96,15.3,medium
Operating Systems,medium,7,1,16,3.8,68,10.7,low
Artificial Intelligence,hard,11,11,21,6.1,84,0.5,low
Probability & Stats,hard,8,5,20,5.4,88,7.2,low
Operating Systems,easy,9,1,14,5.7,74,9.4,low
Operating Systems,hard,6,4,27,4.9,79,6.0,low
Artificial Intelligence,medium,13,2,29,2.1,53,19.4,low
Operating Systems,hard,12,0,15,4.3,74,30.1,low
Software Engineering,medium,12,8,28,6.9,87,7.3,low
Database Systems,hard,8,7,3,6.6,84,2.3,high
Linear Algebra,medium,15,11,8,1.3,59,7.5,low
Database Systems,easy,15,1,16,2.0,95,17.1,low
Artificial Intelligence,hard,8,7,10,1.8,88,2.0,low
Computer Networks,easy,7,3,4,5.4,52,4.9,medium
Linear Algebra,medium,6,5,30,5.9,100,1.3,low
Artificial Intelligence,hard,12,8,18,2.3,77,10.4,low
Probability & Stats,hard,12,0,2,4.0,88,30.1,high
Computer Networks,medium,7,4,17,6.0,85,5.4,low
Database Systems,medium,12,4,13,5.4,88,14.7,low
Artificial Intelligence,medium,13,7,4,4.3,47,10.7,medium
Probability & Stats,easy,6,6,26,4.5,82,0.5,low
Linear Algebra,medium,14,10,25,4.1,59,6.7,low
Linear Algebra,medium,12,1,30,2.8,99,20.5,low
Data Structures,hard,8,3,11,4.4,72,12.2,low
Probability & Stats,hard,13,6,7,5.1,65,16.7,medium
Software Engineering,hard,12,2,12,6.2,78,24.8,low
Operating Systems,easy,13,12,10,4.8,60,1.0,low
Computer Networks,medium,11,11,7,5.6,92,0.5,medium
Probability & Stats,easy,14,4,13,2.0,88,12.1,low
Data Structures,medium,10,7,7,3.8,81,5.9,medium
Operating Systems,medium,8,2,24,1.1,82,10.7,low
Operating Systems,hard,8,3,17,2.5,93,12.2,low
Artificial Intelligence,medium,6,5,10,5.4,80,1.2,low
Operating Systems,easy,13,8,29,7.0,48,5.8,low
Software Engineering,easy,7,5,10,1.6,63,1.5,low
Linear Algebra,hard,8,6,24,3.4,76,4.6,low
Data Structures,medium,13,0,4,5.8,88,24.0,medium
Operating Systems,easy,13,13,20,2.2,80,0.5,low
Artificial Intelligence,easy,9,3,4,4.3,56,7.5,medium
Software Engineering,medium,9,3,22,5.4,63,10.2,low
Database Systems,easy,10,8,7,4.7,60,3.3,medium
Linear Algebra,hard,11,5,22,2.1,90,15.9,low
Linear Algebra,medium,10,8,1,3.1,98,3.9,high
Data Structures,easy,12,11,12,5.7,78,2.2,low
Linear Algebra,easy,7,6,24,4.3,94,1.4,low
Operating Systems,hard,12,5,13,1.0,80,17.9,low
Artificial Intelligence,medium,15,5,10,5.6,78,18.6,low
Linear Algebra,medium,12,4,15,1.2,52,14.5,low
Linear Algebra,hard,6,4,27,5.5,50,4.2,low
Database Systems,hard,12,1,13,2.2,85,27.9,low
Database Systems,hard,10,7,23,6.7,58,7.3,low
Computer Networks,hard,8,7,22,3.2,50,2.3,low
Software Engineering,medium,8,0,22,3.0,52,14.5,low
Operating Systems,easy,9,7,21,1.9,85,2.7,low
Linear Algebra,hard,7,4,22,2.8,84,7.6,low
Probability & Stats,medium,7,1,28,6.3,40,11.1,low
Linear Algebra,medium,6,5,9,7.0,79,1.4,low
Artificial Intelligence,hard,10,1,26,3.2,83,22.5,low
Computer Networks,easy,9,5,9,3.7,58,5.2,low
Software Engineering,medium,15,15,15,5.3,51,0.9,low
Probability & Stats,easy,7,2,10,6.3,47,7.1,low
Computer Networks,medium,8,8,24,4.6,47,0.5,low
Data Structures,easy,12,0,26,3.3,100,14.8,low
Software Engineering,easy,12,11,25,3.5,92,2.2,low
Linear Algebra,easy,9,5,29,5.2,84,4.5,low
Linear Algebra,medium,10,8,10,1.0,51,3.9,low
Software Engineering,medium,10,7,8,4.7,100,5.8,low
Linear Algebra,medium,11,10,24,3.1,87,2.5,low
Operating Systems,hard,14,5,16,5.8,72,21.9,low
Software Engineering,medium,7,2,17,1.6,84,8.5,low
Computer Networks,easy,10,7,26,4.5,65,3.6,low
Software Engineering,hard,8,8,27,3.9,78,0.5,low
Probability & Stats,easy,9,0,5,4.9,67,11.4,medium
Linear Algebra,hard,15,11,4,1.4,97,10.3,medium
Operating Systems,easy,11,8,18,4.5,44,3.5,low
Operating Systems,hard,13,13,24,4.4,47,0.5,low
Data Structures,easy,6,6,19,4.4,64,0.5,low
Computer Networks,hard,15,15,4,4.6,66,0.9,medium
Database Systems,medium,13,5,28,5.1,85,14.5,low
Database Systems,hard,12,5,7,5.8,62,17.3,medium
Software Engineering,easy,6,3,10,2.6,69,3.8,low
Data Structures,medium,7,3,25,6.0,84,7.3,low
Artificial Intelligence,hard,8,0,18,4.0,86,19.2,low
Software Engineering,medium,6,1,19,1.5,62,9.0,low
Data Structures,medium,14,7,4,1.4,88,12.5,medium
Computer Networks,medium,13,1,10,3.0,86,21.3,low
Computer Networks,medium,7,3,1,5.7,59,7.7,high
Computer Networks,medium,14,0,23,5.2,57,24.8,low
Computer Networks,medium,12,1,18,5.7,57,20.0,low
Computer Networks,hard,14,0,5,4.1,41,34.9,medium
Data Structures,easy,11,0,15,3.6,43,13.3,low
Data Structures,easy,11,8,17,1.9,69,3.8,low
Operating Systems,hard,9,0,3,3.0,72,21.8,high
Probability & Stats,hard,15,12,12,3.6,75,7.6,low
Database Systems,medium,15,3,2,1.5,57,22.7,high
Linear Algebra,medium,7,1,1,2.3,76,10.0,high
Computer Networks,easy,12,5,23,4.6,58,8.4,low
Artificial Intelligence,easy,10,6,21,5.4,86,5.4,low
Linear Algebra,medium,11,1,17,7.0,67,18.2,low
Data Structures,medium,7,5,22,6.6,79,3.9,low
Artificial Intelligence,medium,10,6,16,4.9,59,6.0,low
Artificial Intelligence,easy,15,9,5,3.5,88,7.5,medium
Artificial Intelligence,hard,9,9,15,4.8,72,0.5,low
Operating Systems,hard,14,1,3,5.7,51,32.7,high
